rank,prev_rank,name,league,off,def,spi
539,534,Virtus Entella,Italy Serie B,0.68,1.72,22.02
540,531,SK Brann,Norwegian Tippeligaen,0.76,1.86,21.98
541,547,Orange County SC,United Soccer League,0.77,1.88,21.91
542,546,Dundee Utd,Scottish Premiership,0.72,1.8,21.88
543,549,Panionios,Greek Super League,0.51,1.45,21.84
544,552,Austin Bold FC,United Soccer League,0.94,2.16,21.69
545,545,El Paso Locomotive FC,United Soccer League,0.67,1.73,21.69
546,543,Charleston Battery,United Soccer League,0.74,1.86,21.6
547,551,Sagan Tosu,Japanese J League,0.62,1.65,21.55
548,567,St Johnstone,Scottish Premiership,0.67,1.75,21.39
549,535,Cosenza,Italy Serie B,0.68,1.78,21.33
550,557,Ascoli,Italy Serie B,0.75,1.89,21.28
551,548,Vancouver Whitecaps,Major League Soccer,0.84,2.04,21.26
552,554,Volos NFC,Greek Super League,0.65,1.73,21.22
553,523,Gillingham,English League One,0.69,1.8,21.21
554,556,San Diego Loyal SC,United Soccer League,0.7,1.82,21.09
555,539,Wigan,English League One,0.74,1.89,20.96
556,561,Indy Eleven,United Soccer League,0.68,1.84,20.5
557,559,Varbergs BoIS FC,Swedish Allsvenskan,0.77,1.99,20.35
558,566,Yokohama FC,Japanese J League,0.73,1.93,20.32
559,558,Vicenza,Italy Serie B,0.69,1.86,20.21
560,572,Milton Keynes Dons,English League One,0.7,1.91,19.94
561,555,Hamilton Academical,Scottish Premiership,0.87,2.18,19.9
562,563,Birmingham Legion FC,United Soccer League,0.84,2.15,19.81
563,560,Reggiana,Italy Serie B,0.71,1.94,19.77
564,544,Vegalta Sendai,Japanese J League,0.72,1.95,19.68
565,553,US Pescara,Italy Serie B,0.64,1.85,19.25
566,569,IK Start,Norwegian Tippeligaen,0.72,2,19.22
567,568,St Mirren,Scottish Premiership,0.58,1.76,19.13
568,571,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
569,564,Blackpool,English League One,0.66,1.94,18.64
570,573,Miami FC,United Soccer League,0.83,2.25,18.46
571,562,Swindon Town,English League One,0.72,2.06,18.28
572,574,Ross County,Scottish Premiership,0.61,1.88,18.17
573,570,Saint Louis FC,United Soccer League,0.64,1.94,18.03
574,587,Shonan Bellmare,Japanese J League,0.57,1.83,17.9
575,565,Sandefjord,Norwegian Tippeligaen,0.62,1.92,17.85
576,581,Cheltenham Town,English League Two,0.56,1.83,17.8
577,586,Falkenbergs FF,Swedish Allsvenskan,0.7,2.11,17.45
578,578,Central Coast Mariners,Australian A-League,0.78,2.26,17.34
579,576,Kalmar FF,Swedish Allsvenskan,0.67,2.05,17.34
580,575,Burton Albion,English League One,0.75,2.22,17.2
581,580,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
582,582,Charlotte Independence,United Soccer League,0.66,2.09,16.87
583,579,Shrewsbury Town,English League One,0.5,1.8,16.74
584,585,North Carolina FC,United Soccer League,0.65,2.09,16.69
585,577,Plymouth Argyle,English League One,0.62,2.03,16.66
586,584,Accrington Stanley,English League One,0.61,2.03,16.42
587,583,Colchester United,English League Two,0.59,2,16.38
